date,home_team,away_team,tournament,elo_diff,fifa_rank_diff,avg_goals_scored_last5,avg_goals_conceded_last5,form_points,wc_experience,is_neutral,h2h_win_rate,result
1990-05-30,Burkina Faso,Ghana,Friendly,-0.64,58.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-05-30,Germany,Denmark,Friendly,0.38,-8.0,1.1667,1.1667,0.0,0.0,0,0.5,2
1990-05-30,French Guiana,Saint Vincent and the Grenadines,CFU Caribbean Cup qualification,-25.0,0.0,-1.5,1.5,-2.0,0.0,0,0.5,1
1990-05-30,Guadeloupe,Jamaica,CFU Caribbean Cup qualification,-49.93,37.5,-0.7333,0.9333,-6.0,0.0,0,0.5,1
1990-05-30,Austria,Netherlands,Friendly,28.23,27.0,1.25,-0.25,0.0,0.0,0,0.5,2
1990-05-31,Andalusia,Yugoslavia,Friendly,9.9,75.5,1.0,0.5,0.0,0.0,0,0.5,1
1990-06-01,Jordan,Iraq,Friendly,-0.01,28.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-06-02,Belgium,Mexico,Friendly,-24.85,-8.0,-1.0833,0.5833,0.0,0.0,0,0.5,2
1990-06-02,Hungary,Colombia,Friendly,-1.44,1.0,0.7,0.7,-5.0,0.0,0,0.5,2
1990-06-02,Malta,Republic of Ireland,Friendly,-51.5,67.0,0.0,1.25,1.0,0.0,0,0.5,0
1990-06-02,Switzerland,United States,Friendly,-10.97,-92.5,-1.4,0.2,-1.0,0.0,0,0.5,2
1990-06-02,Tunisia,England,Friendly,-18.1,33.0,-1.75,-1.0,0.0,0.0,0,0.5,1
1990-06-03,Gambia,Mauritania,African Cup of Nations qualification,-33.64,-29.5,-2.0,1.0,-3.0,0.0,0,0.5,2
1990-06-03,Yugoslavia,Netherlands,Friendly,9.35,22.0,-1.0,-1.3333,0.0,0.0,0,0.5,0
1990-06-06,Norway,Denmark,Friendly,31.43,5.0,1.9333,1.0667,4.0,0.0,0,0.5,0
1990-06-06,Belgium,Poland,Friendly,-12.26,-3.0,-0.55,-0.2,-3.0,0.0,0,0.5,1
1990-06-07,Namibia,Mauritius,Friendly,10.0,46.0,-1.0,-4.0,0.0,0.0,0,0.5,0
1990-06-08,Argentina,Cameroon,FIFA World Cup,11.95,-12.0,0.0,-0.2,-3.0,0.0,1,0.5,0
1990-06-09,Italy,Austria,FIFA World Cup,-17.76,-32.0,-1.6667,-1.0,0.0,0.0,0,0.5,2
1990-06-09,Russia,Romania,FIFA World Cup,-7.5,-3.0,-0.4,0.2,4.0,0.0,1,0.5,0
1990-06-09,United Arab Emirates,Colombia,FIFA World Cup,-34.98,24.0,-0.8,1.4,-3.0,0.0,1,0.5,0
1990-06-10,Botswana,Mauritius,Friendly,-9.42,27.0,-0.5,-0.8333,0.0,0.0,0,0.5,0
1990-06-10,Brazil,Sweden,FIFA World Cup,-20.62,-1.0,-0.9333,1.0667,0.0,0.0,1,0.5,2
1990-06-10,Germany,Yugoslavia,FIFA World Cup,30.11,-28.0,1.5,0.5,0.0,0.0,1,0.5,2
1990-06-10,United States,Czechoslovakia,FIFA World Cup,40.16,86.5,1.3,-0.75,1.0,0.0,1,0.5,0
1990-06-11,Costa Rica,Scotland,FIFA World Cup,-33.17,14.0,-0.4,0.2,3.0,0.0,1,0.5,2
1990-06-11,England,Republic of Ireland,FIFA World Cup,-10.07,-1.0,0.4,0.8,0.0,0.0,1,0.5,1
1990-06-12,Belgium,South Korea,FIFA World Cup,1.73,-87.5,0.2,0.0,-3.0,0.0,1,0.5,2
1990-06-12,Netherlands,Egypt,FIFA World Cup,30.39,-14.0,0.25,0.25,0.0,0.0,1,0.5,1
1990-06-13,Uruguay,Spain,FIFA World Cup,3.83,1.0,0.0667,0.6,6.0,0.0,1,0.5,1
1990-06-13,Argentina,Russia,FIFA World Cup,-17.93,2.0,-0.6,-0.6,-4.0,0.0,1,0.5,2
1990-06-14,Cameroon,Romania,FIFA World Cup,-35.58,11.0,-1.2,-0.2,3.0,0.0,1,0.5,2
1990-06-14,Italy,United States,FIFA World Cup,44.27,-102.5,-1.5,-1.8,2.0,0.0,0,0.5,2
1990-06-14,Yugoslavia,Colombia,FIFA World Cup,-39.97,-6.0,-1.2,0.4,-8.0,0.0,1,0.5,2
1990-06-15,Austria,Czechoslovakia,FIFA World Cup,32.87,16.0,0.6,-0.4,-3.0,0.0,1,0.5,0
1990-06-15,Germany,United Arab Emirates,FIFA World Cup,83.15,-58.0,1.8,-2.0,1.0,0.0,1,0.5,2
1990-06-16,Brazil,Costa Rica,FIFA World Cup,34.8,-34.0,1.35,0.1,-3.0,0.0,1,0.5,2
1990-06-16,England,Netherlands,FIFA World Cup,27.74,-2.0,0.4,0.0,0.0,0.0,1,0.5,1
1990-06-16,Sweden,Scotland,FIFA World Cup,23.39,-19.0,1.6,-0.4,0.0,0.0,1,0.5,0
1990-06-17,Belgium,Uruguay,FIFA World Cup,4.69,1.0,0.4,-0.6,-4.0,0.0,1,0.5,2
